id_video,c1_form,c1_composition,c1_command,c1_description,c2_form,c2_composition,c2_command,c2_description,c3_form,c3_composition,c3_command,c3_description,c4_form,c4_composition,c4_command,c4_description,c5_form,c5_composition,c5_command,c5_description,c6_form,c6_composition,c6_command,c6_description,c7_form,c7_composition,c7_command,c7_description,c8_form,c8_composition,c8_command,c8_description
TC24231,dynamic,1,swipe up,"one hand, index and middle fingers pointing forward, moving upward, (once)",dynamic,1,swipe down,"one hand, index and middle fingers pointing forward, moving downward (once)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,hand swipe,"one hand, palm open, facing leftward, swiping leftward (once)",dynamic,1,hand swipe,"one hand, palm open, facing leftward, swiping rightward (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24232,dynamic,1,backhand up,"one hand, palm facing down, moving upward (once)",dynamic,1,palm down,"one hand, palm facing down, moving up-down (once)",dynamic,1,hand grab,"one hand, palm facing leftward, closing fist inward (once)",dynamic,1,snap finger,"one hand, thumb and middle fingers flicking together, produce a snapping sound (once)",static,1,block face,"two hands, palms facing forward, crossed in front of the face (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)",dynamic,1,hand wave,"one hand, palm facing forward, moving upwar, waving left-right (once)",dynamic,1,cross hands/arms,"two hands, palms open facing the sides, crossed in front of the body, moving away, to the sides (once)"
TC24233,dynamic,1,block view,"one hand, open palm, facing forward, stretching arm forward (once)",dynamic,1,block view,"one hand, palm open, facing forward, stretching arm forward and backward (once)",dynamic,1,hand pinch,"one hand, thumb and index fingers pinching together, slowly opening outwards (once)",dynamic,1,hand pinch,"one hand, thumb and index fingers pinched together, slowly opening outwards (once)",dynamic,1,hand pinch,"one hand, thumb and index fingers pinching together, slowly closing inward (once)",dynamic,1,hand pinch,"one hand, thumb and index fingers pinching together, slowly opening outwards (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,hand swipe,"one hand, palm open, facing down, sliding to the right (once)"
TC24234,dynamic,1,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,palm up-down,"one hand, palm open facing forward, moving the palm down, fingers pointing forward (once)",dynamic,1,hand grab,"one hand, palm facing forward, closing fist inward to leftward (once)",dynamic,1,hand release,"one hand, palm closed, facing leftward, opening fingers forward (once)",static,1,raised hand,"one hand, palm open, facing rightward, raised upward (once)",static,1,raised hand,"one hand, palm open, facing rightward, raised upward (stationary)",dynamic,1,hand swipe,"one hand, palm open facing forward, swiping leftward (once)",dynamic,2,hand release + palm up-down,"one hand, palm closed, facing forward, opening fingers forward (once) + one hand, palm open facing forward, moving the palm down, fingers pointing forward (once)"
TC24235,dynamic,1,hand pinch,"one hand, thumb and index fingers pinching together, slowly closing inwards, moving forward (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,palm rotate,"one hand, arm extended horizontally in front of the body, palm facing downward, rotating palm forward (once)",dynamic,1,palm rotate,"one hand, arm extended horizontally in front of the body, palm facing forward, rotating palm downward (once)",static,1,ok sign,"one hand, thumb and index fingers touching to form a circular shape, other fingers extended upward (stationary)",static,1,ok sign,"one hand, thumb and index fingers touching to form a circular shape, other fingers extended upward (stationary)",static,1,raised hand,"one hand, palm open, backhand forward, raised upward (stationary)",static,1,thumbs up,"one hand, thumb finger extended upward (stationary)"
TC24236,dynamic,1,palm up,"one hand, palm facing up, moving upward (once)",dynamic,1,backhand up,"one hand, back of the hand facing upward, moving upward (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (once)",dynamic,1,palm up,"one hand, palm facing up, moving upward (once)",dynamic,1,circular hand wave,"one hand, open palm facing downward, moving upward in a circular motion to the right (once)",dynamic,1,circular hand wave,"one hand, palm facing forward, moving upward in a circular motion to the left (once)",static,1,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,circular hand wave,"one hand, palm facing forward, moving upward in a circular motion to the left (once)"
TC24237,dynamic,1,sound wave,"one hand, palm facing forward, fingers slightly bent, moving left-right, upward (repeatedly)",dynamic,1,palm up-down,"two hands, open palms facing each other, moving palms downward (once)",static,1,cross fingers,"two hands, index fingers extended and crossing each other to form an ""X"" shape (stationary)",static,1,thumbs up,"one hand, thumb finger extended upward (stationary)",dynamic,1,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,hand grab,"one hand, palm facing fronttward, closing fist inward (repeatedly)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24238,dynamic,1,hand pinch,"one hand, all fingers tapping together, closing forward and opening (repeatedly)",dynamic,1,hand pinch,"one hand, all fingers tapping together, closing forward (once)",dynamic,1,timeout tap,"two hands, one hand horizontally, palm facing downward, the other hand vertically, palm facing sideways, moving back and forth to tap against the horizontal hand (repeatedly)",dynamic,1,timeout tap,"two hands, one hand horizontally, palm facing downward, the other hand vertically, palm facing sideways, moving back and forth to tap against the horizontal hand (repeatedly)",dynamic,1,close curtains,"two hands, palms facing outward, moving above each other to the center, in front (once)",dynamic,1,open curtains,"two hands, palms open facing outward on the center, moving away from each other (once)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,phone down,"one hand, all fingers curled near the ear, moving downward in front (once)"
TC24239,dynamic,1,index up,"one hand, index finger extended, pointing frontward, moving upward, (once)",dynamic,2,swipe down + point camera,"one hand, index finger, pointing frontward, moving up-down (once) + index finger extended, pointing frontward (repeatedly)",static,1,silence cue,"one hand, index finger placed on lips (stationary)",static,1,listen,"one hand, index finger near ear (stationary)",dynamic,1,block face,"one hand, open palm facing inward, moving in a circular motion to the left, in front of face (once)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right, in front of face (once)",static,1,index up,"one hand, index finger extended upward (stationary)",dynamic,1,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24240,dynamic,1,backhand up,"one hand, palm facing down, fingers partially curled, moving upward (once)",dynamic,1,pinch hold,"one hand, thumb and index finger brought close together as if holding a small object, moving downward (once)",static,1,cover mouth,"one hand, palm open facing inward, covering the mouth (stationary)",static,1,cover mouth,"two hands, palms open facing inwards, crossing each other, covering mouth (stationary)",static,1,block face,"one hand, palm facing inward, in front of face (stationary)",dynamic,1,block face,"one hand, palm facing inward, moving downward in front of the face (once)",static,1,palm up,"one hand, open palm horizontaly, facing upward (stationary)",dynamic,1,spread hands,"two hands, open palms facing down, crossing each other, spreading outward to the sides (once)"
